date,predicted_close,predicted_return
2026-04-16,4869.529306586166,0.00626738098230468
2026-04-17,4896.420585338454,0.0055223568971884025
2026-04-20,4897.343737254047,0.00018853607436366388
2026-04-21,4911.46170797172,0.0028827812534941892
2026-04-22,4911.452920380833,-1.7892007328076335e-06
2026-04-23,4913.235189557871,0.0003628802323731334
2026-04-24,4911.94394939946,-0.0002628085382837054
2026-04-27,4899.50514826588,-0.002532358117624804
2026-04-28,4902.671465678045,0.0006462524921084217
2026-04-29,4900.775208406933,-0.0003867804082707024
2026-04-30,4900.360098627587,-8.470288101242109e-05
2026-05-01,4904.303515095752,0.0008047197325907393
2026-05-04,4904.421998239512,2.415901532098314e-05
2026-05-05,4918.0130651023,0.002771186261636344
2026-05-06,4925.910400700182,0.0016057980109732918
2026-05-07,4934.354640363472,0.0017142495450362249
2026-05-08,4942.647519065119,0.001680640996861311
2026-05-11,4946.827552654955,0.0008457074014912795
2026-05-12,4960.857952384371,0.002836241930828165
2026-05-13,4971.244012727925,0.0020936016397247494
2026-05-14,4982.133728363135,0.002190541362952418
2026-05-15,4994.717046260821,0.0025256885069241735
2026-05-18,5002.151118769182,0.0014883871177301265
2026-05-19,5019.89857300351,0.0035479644282907464
2026-05-20,5034.530633884978,0.0029148120561952387
2026-05-21,5049.194090551296,0.0029125767092617353
2026-05-22,5063.078622665635,0.002749851137693806
2026-05-25,5069.035292152,0.0011764916032904738
2026-05-26,5084.723817314674,0.003094972565482799
2026-05-27,5096.091759345366,0.0022357049151777476
